BOOT:1
C1:1
C2:1
C3:1
C4:1
C6:1
C7:1
C8:1
C9:1
CARD1:1
J5:1
J6:1
NRST:1
PB3:1
PB4:1
R3:1
R4:1
R6:1
R7:1
R8:1
U1:1
U2:1
U3:1
USB1:1
